track,1,e+,1,42,-3.384390,3.015839,-5000.100000,10.0066 ns ,1.86221 keV,Transportation,0.054341,0.000000,997.808455
track,1,e+,1,43,-3.384837,3.016379,-4999.900000,10.0073 ns ,33.004 eV ,Transportation,0.054341,0.000000,997.808455
track,1,e+,1,44,-3.406975,3.043127,-4990.000000,10.0403 ns ,2.61526 keV,Transportation,0.054341,0.000000,997.808455
track,1,e+,1,45,-3.422232,3.061223,-4983.324290,10.0626 ns ,765.4 eV ,eIoni,0.054341,0.000000,997.808455
track,1,e+,1,46,-3.891374,3.663726,-4764.834830,10.7914 ns ,41.2085 keV,eIoni,0.054341,0.000000,997.808455
track,1,e+,1,47,-3.909693,3.687913,-4756.681102,10.8186 ns ,1.88698 keV,eIoni,0.054341,0.000000,997.808455
track,1,e+,1,48,-4.216677,4.111632,-4615.575273,11.2893 ns ,29.0849 keV,eIoni,0.054341,0.000000,997.808455
track,1,e+,1,49,-4.351296,4.288983,-4555.530719,11.4895 ns ,11.1079 keV,eIoni,0.054341,0.000000,997.808455
track,1,e+,1,50,-4.454093,4.417658,-4510.000000,11.6414 ns ,10.6192 keV,Transportation,0.054341,0.000000,997.808455
track,1,e+,1,51,-4.476386,4.445937,-4500.100000,11.6744 ns ,1.77849 keV,Transportation,0.054341,0.000000,997.808455
track,1,e+,1,52,-4.476823,4.446503,-4499.900000,11.6751 ns ,0 eV ,Transportation,0.054341,0.000000,997.808455
track,1,e+,1,53,-4.498444,4.474519,-4490.000000,11.7081 ns ,2.11056 keV,Transportation,0.054341,0.000000,997.808455
track,1,e+,1,54,-4.590081,4.588256,-4450.258690,11.8407 ns ,6.69067 keV,eIoni,0.054341,0.000000,997.808455
track,1,e+,1,55,-4.770742,4.802539,-4376.755676,12.0859 ns ,16.5524 keV,eIoni,0.054341,0.000000,997.808455
track,1,e+,1,56,-5.264626,5.325406,-4199.535906,12.677 ns ,41.4947 keV,eIoni,0.054341,0.000000,997.808455
