EventID,Step,TrackID,PosX,PosY,PosZ,Energy,Time, Charge, PName, Px, Py, Pz, Process, Edep
0,9,3678,-24.097685151479,4.640500532866,9.769409760118,0.000000000000,0.369936604194,0.000000000000,gamma,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,phot
0,1,3687,-24.097685151479,4.640500532866,9.769409760118,0.510998910000,0.369942449218,-1.000000000000,e-,0.001897704955,0.184555570365,-0.162108195522,0.055978437796,eIoni
0,2,3687,-24.097679286452,4.641070918418,9.768908750192,0.510998910000,0.369942449218,-1.000000000000,e-,0.000000000000,0.000000000000,-0.000000000000,0.000000000000,eIoni
0,1,3686,-24.164965207067,4.669001848577,9.739113407845,0.510998910000,0.369681399008,-1.000000000000,e-,-0.141910502985,0.259977917425,0.025976171441,0.080204740115,eIoni
0,2,3686,-24.165587224869,4.670141375881,9.739227265810,0.510998910000,0.369681399008,-1.000000000000,e-,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,eIoni
0,1,3685,-23.954412321984,2.414831664206,8.860324956067,0.510998910000,0.361577679346,-1.000000000000,e-,-0.099182707895,0.001637716093,-0.221846956145,0.054841924185,eIoni
0,2,3685,-23.954712660234,2.414836623425,8.859653174382,0.510998910000,0.361577679346,-1.000000000000,e-,-0.000000000000,0.000000000000,-0.000000000000,0.000000000000,eIoni
0,1,3684,-23.545556019480,1.691928836749,9.345357659850,0.510998910000,0.358427825494,-1.000000000000,e-,-0.314258831477,-0.180819888378,0.692603021013,0.422956804117,eIoni
0,2,3684,-23.552011328655,1.688214547229,9.359584679710,0.510998910000,0.358427825494,-1.000000000000,e-,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,eIoni
0,1,3677,-0.099604793927,0.051057354371,-20.673759913287,0.000000000000,0.231314103089,0.000000000000,gamma,0.049899417266,0.041109717059,0.091396609739,0.088011000000,phot
0,2,3677,-0.091948787373,0.057364767974,-20.659737043250,0.000000000000,0.231314103089,0.000000000000,gamma,0.000000000000,0.000000000000,0.000000000000,0.000000000000,phot
0,1,3688,-0.091948787373,0.057364767974,-20.659737043250,0.510998910000,0.231316454593,-1.000000000000,e-,0.053247671303,-0.125293718010,0.080667422347,0.023941226204,eIoni
0,2,3688,-0.091878615694,0.057199651448,-20.659630736847,0.510998910000,0.231316454593,-1.000000000000,e-,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,eIoni
0,1,3675,-0.118263411152,0.024367893990,-20.758979099026,2.819777309311,0.231717475419,-1.000000000000,e-,-0.345408449317,0.146835223727,3.324273548091,0.564418620056,msc
0,2,3675,-0.050874771107,-0.206620087468,-20.518247502142,2.571522667733,0.232250079550,-1.000000000000,e-,2.694909042492,0.037386308568,0.652757002805,0.248254641578,msc
0,3,3675,0.059322458018,-0.178752678643,-20.307699835009,2.300518808589,0.232368879059,-1.000000000000,e-,-1.237409189385,-0.132002890926,2.191575387583,0.059264852283,eBrem
0,4,3675,0.032227992244,-0.184276494263,-20.283191111917,2.151129627151,0.232708739037,-1.000000000000,e-,-1.607348882016,-0.301586053230,1.535168501055,0.149389181439,msc
0,5,3675,-0.082939149889,-0.267456974111,-20.274964359745,2.026864875293,0.233000704613,-1.000000000000,e-,-1.996155896977,-0.478267574919,0.390973846347,0.124264751857,msc
0,6,3675,-0.185167004570,-0.205783821513,-20.267048215630,1.877252132814,0.233296007134,-1.000000000000,e-,-1.438410353034,1.332087348077,-0.059835525000,0.149612742479,msc
0,7,3675,-0.265130413400,-0.170672626200,-20.371345674988,1.685876344500,0.233587485292,-1.000000000000,e-,1.172433148315,-1.323839449921,-0.368517716938,0.191375788313,msc
0,8,3675,-0.325128752044,-0.312355152966,-20.465409710262,1.398572945626,0.233833623316,-1.000000000000,e-,-1.424856300582,0.580725927885,-0.462169971221,0.287303398874,msc
0,9,3675,-0.351625567795,-0.114559559745,-20.379625326233,0.510998910000,0.234003806543,-1.000000000000,e-,0.104175676441,1.202454262493,0.487993415186,0.887574035626,eIoni
0,10,3675,-0.347825260956,-0.070694280303,-20.361823428738,0.510998910000,0.234003806543,-1.000000000000,e-,0.000000000000,0.000000000000,0.000000000000,0.000000000000,eIoni
0,1,3689,0.032227992244,-0.184276494263,-20.283191111917,0.211739006861,0.234493612056,0.000000000000,gamma,-0.188268957914,0.022948483487,0.094135931600,0.000000000000,Transportation
0,2,3689,-0.534145491556,-0.115240086538,-20.000000000000,0.211739006861,0.272007730757,0.000000000000,gamma,-0.188268957914,0.022948483487,0.094135931600,0.000000000000,Transportation
0,3,3689,-10.533991178216,1.103661298779,-15.000000000000,0.000000000000,0.279755645814,0.000000000000,gamma,-0.188268957914,0.022948483487,0.094135931600,0.088011000000,phot
0,4,3689,-12.599292393985,1.355405034820,-13.967333456693,0.000000000000,0.279755645814,0.000000000000,gamma,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,phot
0,1,3690,-12.599292393985,1.355405034820,-13.967333456693,0.510998910000,0.279769995783,-1.000000000000,e-,-0.159936034991,0.331228672964,0.080413953298,0.123728006861,eIoni
0,2,3690,-12.600376398441,1.357650015806,-13.966788432029,0.510998910000,0.279769995783,-1.000000000000,e-,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,eIoni
0,1,3522,-0.049560368318,-0.008157615422,-24.800584583012,68.499778685305,0.233504815188,0.000000000000,gamma,-1.875873235008,-0.955171032892,68.467426034866,0.000000000000,Transportation
0,2,3522,-0.181086973788,-0.075129306928,-20.000000000000,68.499778685305,0.250190900836,0.000000000000,gamma,-1.875873235008,-0.955171032892,68.467426034866,0.000000000000,Transportation
0,3,3522,-0.318077170707,-0.144882990410,-15.000000000000,0.000000000000,0.256881646022,0.000000000000,gamma,-1.875873235008,-0.955171032892,68.467426034866,0.000000000000,conv
0,4,3522,-0.373007159671,-0.172852649189,-12.995112416815,0.000000000000,0.256881646022,0.000000000000,gamma,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,conv
0,1,3692,-0.373007159671,-0.172852649189,-12.995112416815,9.014646157182,0.259014309434,1.000000000000,e+,-0.438981921543,-0.217868706950,9.967187343055,0.792135371369,eBrem
0,2,3692,-0.490574659999,-0.395530305660,-12.365866635868,8.296205769381,0.259094660317,1.000000000000,e+,-4.556359632802,-7.466668637339,2.119238497650,0.019867095817,eBrem
