EventID,Step,TrackID,PosX,PosY,PosZ,Energy,Time, Charge
0,324,34,-29.430974630836,-39.003195175517,-114.281232774934,5.929462065388,8875723392447.552734375000,2.000000000000
0,325,34,-29.443595592650,-38.992879151349,-114.275998532478,5.924466013537,8875723392447.554687500000,2.000000000000
0,326,34,-29.461370554645,-38.978344347874,-114.268626791179,5.900614005336,8875723392447.574218750000,2.000000000000
0,327,34,-29.712301760152,-38.773280956953,-114.164610001007,5.889205216177,8875723392447.583984375000,2.000000000000
0,328,34,-29.836592859760,-38.671712193662,-114.113373701231,5.876169330859,8875723392447.595703125000,2.000000000000
0,329,34,-29.973275639399,-38.559792555374,-114.057006972466,5.852716439378,8875723392447.621093750000,2.000000000000
0,330,34,-30.285032106856,-38.304681589689,-113.928444677529,5.833529899969,8875723392447.634765625000,2.000000000000
0,331,34,-30.461660472156,-38.160419459399,-113.855969003855,5.805533725749,8875723392447.656250000000,2.000000000000
0,332,34,-30.735324184198,-37.937131573158,-113.744248958128,5.801823087388,8875723392447.660156250000,2.000000000000
0,333,34,-30.773796965349,-37.905801583575,-113.728563680225,5.783960520844,8875723392447.673828125000,2.000000000000
0,334,34,-30.938509431229,-37.771578716934,-113.661373742600,5.780950140716,8875723392447.677734375000,2.000000000000
0,335,34,-30.975730223493,-37.741288367378,-113.646214449540,5.762078068673,8875723392447.695312500000,2.000000000000
0,336,34,-31.200980238686,-37.557837063032,-113.554169799422,5.722932453755,8875723392447.720703125000,2.000000000000
0,337,34,-31.506509060611,-37.308980642482,-113.429360319298,5.719791670550,8875723392447.722656250000,2.000000000000
0,338,34,-31.535989508305,-37.285011794828,-113.417369070988,5.710914304992,8875723392447.730468750000,2.000000000000
0,339,34,-31.622863610466,-37.214370013776,-113.382070736868,5.705510054949,8875723392447.734375000000,2.000000000000
0,340,34,-31.664400094328,-37.180576320238,-113.365189798584,5.679907097497,8875723392447.753906250000,2.000000000000
0,341,34,-31.900857573095,-36.988558365606,-113.269137747363,5.673427612211,8875723392447.759765625000,2.000000000000
0,342,34,-31.960897976668,-36.939713451597,-113.245217895363,5.671313097354,8875723392447.759765625000,2.000000000000
0,343,34,-31.972210451238,-36.930510981630,-113.240717278687,5.668510903121,8875723392447.761718750000,2.000000000000
0,344,34,-31.995419614713,-36.911622861074,-113.231474132704,5.666940394120,8875723392447.763671875000,2.000000000000
0,345,34,-32.009683788098,-36.900027230072,-113.225798889590,5.653102443985,8875723392447.779296875000,2.000000000000
0,346,34,-32.189643516032,-36.753682276144,-113.154180484364,5.648463563787,8875723392447.781250000000,2.000000000000
0,347,34,-32.214568656990,-36.733462758020,-113.144311247269,5.637297499013,8875723392447.789062500000,2.000000000000
0,348,34,-32.300052234643,-36.664067778602,-113.110374584629,5.631352516916,8875723392447.791015625000,2.000000000000
0,349,34,-32.324749430570,-36.644036759045,-113.100595504086,5.622510547669,8875723392447.800781250000,2.000000000000
0,350,34,-32.441272079981,-36.549623131220,-113.054453538591,5.595111320681,8875723392447.822265625000,2.000000000000
0,351,34,-32.697154674015,-36.341292966511,-112.952389349758,5.577830080503,8875723392447.835937500000,2.000000000000
0,352,34,-32.852001473701,-36.215068631936,-112.890633968387,5.575668291014,8875723392447.835937500000,2.000000000000
0,353,34,-32.853454407117,-36.213885885701,-112.890057590550,5.562780913466,8875723392447.845703125000,2.000000000000
0,354,34,-32.964317788180,-36.123628386398,-112.846062628746,5.544004197053,8875723392447.863281250000,2.000000000000
0,355,34,-33.166957724701,-35.958604964332,-112.765469305506,5.537066247439,8875723392447.867187500000,2.000000000000
0,356,34,-33.205541293446,-35.927329000995,-112.750061917637,5.518871439109,8875723392447.880859375000,2.000000000000
0,357,34,-33.362233752194,-35.800097644736,-112.687463687564,5.516054612240,8875723392447.882812500000,2.000000000000
0,358,34,-33.393780689955,-35.774417447805,-112.674840103434,5.509319278120,8875723392447.890625000000,2.000000000000
0,359,34,-33.489843012474,-35.696139669233,-112.636529979328,5.508215573493,8875723392447.890625000000,2.000000000000
0,360,34,-33.490696882145,-35.695443085768,-112.636188859216,5.491392213076,8875723392447.906250000000,2.000000000000
0,361,34,-33.669984078043,-35.549174609631,-112.564598695379,5.489360411094,8875723392447.910156250000,2.000000000000
0,362,34,-33.716182413327,-35.511502842564,-112.546208966873,5.485323664838,8875723392447.914062500000,2.000000000000
