EventID,Step,TrackID,PosX,PosY,PosZ,Energy,Time, Charge, Type
0,2,371,1.334715968603,-0.454709160137,24.143764850345,3.933862598661,0.381962225519,-1.000000000000,e-
0,3,371,1.276537405733,-0.023631104518,24.213771437862,3.324417010900,0.382712402388,-1.000000000000,e-
0,4,371,1.279388124922,-0.360996309267,24.102762555972,2.855959938387,0.383354865227,-1.000000000000,e-
0,5,371,1.049167497969,-0.563019650766,23.833776801221,2.334806776875,0.383828279139,-1.000000000000,e-
0,6,371,0.963583174936,-0.592750700995,23.729041413870,0.976543652337,0.383900657540,-1.000000000000,e-
0,7,371,0.946215010124,-0.597868635596,23.732791043123,0.688950969364,0.383922665870,-1.000000000000,e-
0,8,371,0.942820968586,-0.599577197763,23.730522681424,0.510998910000,0.383922665870,-1.000000000000,e-
0,1,382,1.334715968603,-0.454709160137,24.143764850345,0.619308306881,0.383938895704,0.000000000000,gamma
0,2,382,1.544618685437,-0.372429125443,25.000000000000,0.619308306881,0.401185569847,0.000000000000,gamma
0,3,382,2.770349239237,0.108046563549,30.000000000000,0.619308306881,0.405831670301,0.000000000000,gamma
0,4,382,3.100550136850,0.237482436136,31.346955481322,0.000000000000,0.405831670301,0.000000000000,gamma
0,1,383,3.100550136850,0.237482436136,31.346955481322,1.114440216881,0.405933142605,-1.000000000000,e-
0,2,383,3.115616820897,0.252056915409,31.364026809414,0.510998910000,0.405933142605,-1.000000000000,e-
0,1,2,0.008166784403,-0.004644238017,-74.474256031812,18.951095339680,0.083396101870,0.000000000000,gamma
0,2,2,0.153552026830,-0.080115633869,-65.000000000000,18.951095339680,0.100076799287,0.000000000000,gamma
0,3,2,0.230278495874,-0.119945355378,-60.000000000000,18.951095339680,0.133438194122,0.000000000000,gamma
0,4,2,0.383731433961,-0.199604798397,-50.000000000000,18.951095339680,0.150118891540,0.000000000000,gamma
0,5,2,0.460457903005,-0.239434519907,-45.000000000000,18.951095339680,0.183480286374,0.000000000000,gamma
0,6,2,0.613910841092,-0.319093962925,-35.000000000000,18.951095339680,0.200160983792,0.000000000000,gamma
0,7,2,0.690637310135,-0.358923684435,-30.000000000000,18.951095339680,0.207555952603,0.000000000000,gamma
0,8,2,0.724652065715,-0.376581192448,-27.783375411171,0.000000000000,0.207555952603,0.000000000000,gamma
0,1,385,0.724652065715,-0.376581192448,-27.783375411171,1.459267940253,0.207835638307,1.000000000000,e+
0,2,385,0.721149713462,-0.373519820354,-27.704974492953,0.510998910000,0.207835638307,1.000000000000,e+
0,2,385,0.721149713462,-0.373519820354,-27.704974492953,0.510998910000,0.207835638307,1.000000000000,e+
0,3,385,0.721149713462,-0.373519820354,-27.704974492953,0.510998910000,0.207835638307,1.000000000000,e+
0,1,387,0.721149713462,-0.373519820354,-27.704974492953,0.510998910000,0.213536696750,0.000000000000,gamma
0,2,387,1.143981945631,0.129313278546,-26.127155772193,0.474033757613,0.220376463199,0.000000000000,gamma
0,3,387,1.805152596952,1.402588322449,-24.662158531457,0.000000000000,0.220376463199,0.000000000000,gamma
0,1,389,1.805152596952,1.402588322449,-24.662158531457,0.969826667613,0.220447497719,-1.000000000000,e-
0,2,389,1.809137329476,1.417982347198,-24.653512883017,0.510998910000,0.220447497719,-1.000000000000,e-
0,1,388,1.143981945631,0.129313278546,-26.127155772193,0.547964062387,0.213540408358,-1.000000000000,e-
0,2,388,1.143928277047,0.129020835180,-26.126885572008,0.510998910000,0.213540408358,-1.000000000000,e-
0,1,386,0.721149713462,-0.373519820354,-27.704974492953,0.510998910000,0.216128146421,0.000000000000,gamma
0,2,386,0.106116601444,-1.104918663946,-30.000000000000,0.510998910000,0.234194412110,0.000000000000,gamma
0,3,386,-1.233809926888,-2.698362487002,-35.000000000000,0.510998910000,0.270326943487,0.000000000000,gamma
0,4,386,-3.913662983552,-5.885250133115,-45.000000000000,0.510998910000,0.288393209176,0.000000000000,gamma
0,5,386,-5.253589511884,-7.478693956171,-50.000000000000,0.510998910000,0.320222489577,0.000000000000,gamma
0,6,386,-7.614281971604,-10.286035059239,-58.809036950181,0.500948096150,0.324981230902,0.000000000000,gamma
0,7,386,-8.203616433141,-10.805244690472,-60.000000000000,0.500948096150,0.344959774003,0.000000000000,gamma
0,8,386,-10.677809321101,-12.985033691115,-65.000000000000,0.500948096150,0.358313852896,0.000000000000,gamma
0,9,386,-12.331611945948,-14.442050558481,-68.342105283899,0.000000000000,0.358313852896,0.000000000000,gamma
0,1,391,-12.331611945948,-14.442050558481,-68.342105283899,1.008090006150,0.358392527665,-1.000000000000,e-
0,2,391,-12.338017344276,-14.457083937404,-68.354202086886,0.890989690585,0.358448406316,-1.000000000000,e-
0,3,391,-12.326869592660,-14.457847919763,-68.346235415419,0.510998910000,0.358448406316,-1.000000000000,e-
0,1,390,-7.614281971604,-10.286035059239,-58.809036950181,0.521049723850,0.320223465723,-1.000000000000,e-
0,2,390,-7.614236748606,-10.286017099464,-58.809067022300,0.510998910000,0.320223465723,-1.000000000000,e-
0,1,384,0.724652065715,-0.376581192448,-27.783375411171,17.491827399427,0.209494754355,-1.000000000000,e-
0,2,384,0.686311540530,-0.297457964896,-27.196529329314,16.049230680616,0.210543690999,-1.000000000000,e-
0,3,384,0.493356917879,-0.326191108409,-26.944718280616,15.536927642255,0.213533005073,-1.000000000000,e-
0,4,384,-0.276995617057,-0.350928939494,-26.409544833253,11.177832885695,0.217270735419,-1.000000000000,e-
0,5,384,-1.068142188890,0.291146153439,-25.601129922757,4.304537419928,0.218674874319,-1.000000000000,e-
0,6,384,-1.255126006079,0.664960451157,-25.602495725400,2.208893746110,0.219101545949,-1.000000000000,e-
0,7,384,-1.158920338797,0.720278800248,-25.546189046931,0.684369931525,0.219122895384,-1.000000000000,e-
0,8,384,-1.161889689884,0.721261887860,-25.549077447665,0.510998910000,0.219122895384,-1.000000000000,e-
0,1,395,-1.068142188890,0.291146153439,-25.601129922757,5.207294566145,0.307649056257,0.000000000000,gamma
0,2,395,-14.847884875878,23.542311275097,-23.696690126660,0.000000000000,0.307649056257,0.000000000000,gamma
0,1,397,-14.847884875878,23.542311275097,-23.696690126660,2.576498111024,0.308321543943,1.000000000000,e+
0,2,397,-14.962022111978,23.703200829222,-23.685125838064,1.841914201269,0.308605760776,1.000000000000,e+
